time_s,position_cm,setpoint_cm,error_cm,control_signal_v
12.263577461242676,13.29,15.0,1.7100000000000009,4.907
12.386445999145508,13.34,15.0,1.6600000000000001,4.897
12.439791440963745,13.41,15.0,1.5899999999999999,4.897
12.492922067642212,13.31,15.0,1.6899999999999995,4.897
12.599507570266724,13.34,15.0,1.6600000000000001,4.907
12.65273642539978,13.41,15.0,1.5899999999999999,4.907
12.77559208869934,13.39,15.0,1.6099999999999994,4.907
12.829330205917358,13.22,15.0,1.7799999999999994,4.907
12.882175922393799,13.44,15.0,1.5600000000000005,4.897
12.935708999633789,13.26,15.0,1.7400000000000002,4.907
13.112491607666016,13.36,15.0,1.6400000000000006,4.907
13.218018293380737,13.41,15.0,1.5899999999999999,4.907
13.271209239959717,13.39,15.0,1.6099999999999994,4.907
13.32536268234253,13.34,15.0,1.6600000000000001,4.907
13.50241732597351,13.36,15.0,1.6400000000000006,4.897
13.606980323791504,13.31,15.0,1.6899999999999995,4.907
13.66046929359436,13.31,15.0,1.6899999999999995,4.907
13.714522123336792,13.39,15.0,1.6099999999999994,4.907
13.837814807891846,13.39,15.0,1.6099999999999994,4.907
13.944507598876953,13.26,15.0,1.7400000000000002,4.907
14.050599336624146,13.36,15.0,1.6400000000000006,4.907
14.22714614868164,13.31,15.0,1.6899999999999995,4.897
14.332757472991943,13.41,15.0,1.5899999999999999,4.907
14.38602590560913,13.29,15.0,1.7100000000000009,4.888
14.441020727157593,13.41,15.0,1.5899999999999999,4.897
14.563376426696777,13.41,15.0,1.5899999999999999,4.907
14.66827392578125,13.31,15.0,1.6899999999999995,4.888
14.721933364868164,13.22,15.0,1.7799999999999994,4.907
14.775100231170654,13.41,15.0,1.5899999999999999,4.897
14.827667236328125,13.39,15.0,1.6099999999999994,4.888
14.953168630599976,13.36,15.0,1.6400000000000006,4.897
15.057453870773315,13.48,15.0,1.5199999999999996,4.907
15.110728740692139,13.39,15.0,1.6099999999999994,4.888
15.287906885147095,13.34,5.0,-8.34,3.871
15.340227603912354,13.39,5.0,-8.39,3.343
15.39508581161499,13.26,5.0,-8.26,3.294
15.446493864059448,12.21,5.0,-7.210000000000001,3.363
15.70226001739502,6.98,5.0,-1.9800000000000004,4.262
15.952027559280396,6.18,5.0,-1.1799999999999997,4.477
16.217281103134155,5.96,5.0,-0.96,4.497
16.484680652618408,5.86,5.0,-0.8600000000000003,4.516
16.534391164779663,5.86,5.0,-0.8600000000000003,4.536
16.75077486038208,5.71,5.0,-0.71,4.536
17.016759872436523,5.66,5.0,-0.6600000000000001,4.536
17.068040132522583,5.64,5.0,-0.6399999999999997,4.545
17.282353162765503,5.74,5.0,-0.7400000000000002,4.536
17.331093072891235,5.62,5.0,-0.6200000000000001,4.545
17.53273344039917,5.66,5.0,-0.6600000000000001,4.545
17.58333110809326,5.69,5.0,-0.6900000000000004,4.545
17.798821926116943,5.71,5.0,-0.71,4.545
17.847810745239258,5.71,5.0,-0.71,4.545
18.065250158309937,5.71,5.0,-0.71,4.565
18.11550235748291,5.76,5.0,-0.7599999999999998,4.545
18.33094024658203,5.42,5.0,-0.41999999999999993,4.575
18.379727602005005,5.32,5.0,-0.3200000000000003,4.594
18.59640598297119,5.37,5.0,-0.3700000000000001,4.594
18.647015810012817,5.35,5.0,-0.34999999999999964,4.614
18.86430311203003,5.35,5.0,-0.34999999999999964,4.614
19.11288619041443,5.37,5.0,-0.3700000000000001,4.614
19.161531925201416,5.4,5.0,-0.40000000000000036,4.604
19.380253314971924,5.37,5.0,-0.3700000000000001,4.614
19.64686107635498,5.35,5.0,-0.34999999999999964,4.614
19.913191080093384,5.4,5.0,-0.40000000000000036,4.594
20.178977251052856,5.3,5.0,-0.2999999999999998,4.604
20.445014715194702,5.32,5.0,-0.3200000000000003,4.604
20.712424755096436,5.37,5.0,-0.3700000000000001,4.614
20.960471868515015,5.37,5.0,-0.3700000000000001,4.604
21.22796130180359,5.37,5.0,-0.3700000000000001,4.585
21.495178937911987,5.37,5.0,-0.3700000000000001,4.604
21.76000738143921,5.32,5.0,-0.3200000000000003,4.604
22.02750301361084,5.3,5.0,-0.2999999999999998,4.604
22.293403387069702,5.35,5.0,-0.34999999999999964,4.594
22.543286085128784,5.3,5.0,-0.2999999999999998,4.604
22.60648465156555,5.37,5.0,-0.3700000000000001,4.604
22.80943536758423,5.35,5.0,-0.34999999999999964,4.604
22.874354600906372,5.37,5.0,-0.3700000000000001,4.594
23.075801134109497,5.32,5.0,-0.3200000000000003,4.545
23.339730978012085,5.27,5.0,-0.2699999999999996,4.536
23.608150720596313,5.47,5.0,-0.46999999999999975,4.555
23.872740745544434,4.88,5.0,0.1200000000000001,4.643
23.94012975692749,4.93,5.0,0.07000000000000028,4.643
24.14064049720764,4.98,5.0,0.019999999999999574,4.643
24.389434814453125,4.96,5.0,0.040000000000000036,4.653
24.656581163406372,4.88,5.0,0.1200000000000001,4.643
24.92158532142639,4.93,5.0,0.07000000000000028,4.653
24.970519304275513,4.96,5.0,0.040000000000000036,4.653
25.189565420150757,4.88,5.0,0.1200000000000001,4.653
25.45416569709778,4.98,5.0,0.019999999999999574,4.653
25.50322675704956,4.96,5.0,0.040000000000000036,4.663
25.722336053848267,4.91,5.0,0.08999999999999986,4.663
25.970397233963013,4.93,5.0,0.07000000000000028,4.643
26.018778085708618,4.93,5.0,0.07000000000000028,4.633
26.238343238830566,4.98,5.0,0.019999999999999574,4.663
26.502704620361328,4.91,5.0,0.08999999999999986,4.653
26.551907300949097,4.88,5.0,0.1200000000000001,4.643
26.77126169204712,4.93,5.0,0.07000000000000028,4.643
27.03530502319336,4.96,5.0,0.040000000000000036,4.663
27.08365273475647,4.96,5.0,0.040000000000000036,4.643
27.3028347492218,4.86,5.0,0.13999999999999968,4.653
27.567934036254883,4.96,5.0,0.040000000000000036,4.653
27.616504430770874,4.86,5.0,0.13999999999999968,4.633
27.81887459754944,4.91,5.0,0.08999999999999986,4.643
28.084113359451294,4.93,5.0,0.07000000000000028,4.653
28.351091146469116,4.88,5.0,0.1200000000000001,4.643
28.61651372909546,4.86,5.0,0.13999999999999968,4.653
28.665297985076904,4.91,5.0,0.08999999999999986,4.643
28.883999347686768,4.93,5.0,0.07000000000000028,4.653
29.15034580230713,4.93,5.0,0.07000000000000028,4.643
29.39954447746277,5.0,5.0,0.0,4.653
29.665117502212524,4.98,5.0,0.019999999999999574,4.643
29.713501691818237,5.03,5.0,-0.03000000000000025,4.643
29.93127727508545,4.86,5.0,0.13999999999999968,4.643
29.979756116867065,4.88,5.0,0.1200000000000001,4.653
30.198765754699707,4.98,5.0,0.019999999999999574,4.653
30.248371362686157,4.96,5.0,0.040000000000000036,4.653
30.464852333068848,4.96,5.0,0.040000000000000036,4.653
30.73082971572876,4.81,5.0,0.1900000000000004,4.643
30.980576515197754,4.91,5.0,0.08999999999999986,4.643
31.246330738067627,4.86,5.0,0.13999999999999968,4.643
31.31358528137207,4.93,15.0,10.07,4.663
31.51328992843628,5.25,15.0,9.75,7.82
31.713985443115234,10.31,15.0,4.6899999999999995,6.569
31.83610248565674,13.92,15.0,1.08,5.367
31.888493537902832,14.58,15.0,0.41999999999999993,4.995
31.995830297470093,14.61,15.0,0.39000000000000057,4.78
32.10235548019409,14.63,15.0,0.3699999999999992,4.77
32.225319385528564,14.8,15.0,0.1999999999999993,4.78
32.33167481422424,14.68,15.0,0.3200000000000003,4.78
32.38638639450073,14.63,15.0,0.3699999999999992,4.79
32.56210684776306,14.73,15.0,0.2699999999999996,4.79
32.66723322868347,14.71,15.0,0.28999999999999915,4.77
32.72067713737488,14.8,15.0,0.1999999999999993,4.761
32.77481412887573,14.83,15.0,0.16999999999999993,4.77
32.82656669616699,14.78,15.0,0.22000000000000064,4.77
32.95070433616638,14.66,15.0,0.33999999999999986,4.77
33.05769753456116,14.73,15.0,0.2699999999999996,4.751
33.16362404823303,14.73,15.0,0.2699999999999996,4.761
33.28685545921326,14.68,15.0,0.3200000000000003,4.78
33.39199686050415,14.73,15.0,0.2699999999999996,4.77
33.499143838882446,14.8,15.0,0.1999999999999993,4.78
33.55232238769531,14.78,15.0,0.22000000000000064,4.761
33.674821853637695,14.76,15.0,0.2400000000000002,4.78
33.72849369049072,14.76,15.0,0.2400000000000002,4.761
33.78136992454529,14.73,15.0,0.2699999999999996,4.78
33.83466124534607,14.8,15.0,0.1999999999999993,4.8
34.01210570335388,14.8,15.0,0.1999999999999993,4.77
34.11765694618225,14.8,15.0,0.1999999999999993,4.8
34.17019271850586,14.83,15.0,0.16999999999999993,4.78
34.22434687614441,14.73,15.0,0.2699999999999996,4.761
34.27803111076355,14.68,15.0,0.3200000000000003,4.78
34.401118755340576,14.76,15.0,0.2400000000000002,4.8
34.50715684890747,14.78,15.0,0.22000000000000064,4.79
34.55966925621033,14.71,15.0,0.28999999999999915,4.77
34.61307239532471,14.8,15.0,0.1999999999999993,4.78
34.73643517494202,14.78,15.0,0.22000000000000064,4.79
34.78889560699463,14.71,15.0,0.28999999999999915,4.77
34.89659595489502,14.73,15.0,0.2699999999999996,4.761
35.0020170211792,14.73,15.0,0.2699999999999996,4.761
35.1263108253479,14.85,15.0,0.15000000000000036,4.77
35.23190903663635,14.66,15.0,0.33999999999999986,4.79
35.284889221191406,14.85,15.0,0.15000000000000036,4.8
35.46236181259155,14.78,15.0,0.22000000000000064,4.761
35.5677011013031,14.85,15.0,0.15000000000000036,4.761
35.620185136795044,14.73,15.0,0.2699999999999996,4.78
35.67455005645752,14.71,15.0,0.28999999999999915,4.78
35.73062038421631,14.71,15.0,0.28999999999999915,4.77
35.850409269332886,14.68,15.0,0.3200000000000003,4.78
35.95719838142395,14.83,15.0,0.16999999999999993,4.761
36.00942850112915,14.76,15.0,0.2400000000000002,4.761
36.06347703933716,14.78,15.0,0.22000000000000064,4.77
36.187750816345215,14.73,15.0,0.2699999999999996,4.79
36.292354345321655,14.73,15.0,0.2699999999999996,4.78
36.39886927604675,14.9,15.0,0.09999999999999964,4.78
36.452505111694336,14.68,15.0,0.3200000000000003,4.761
36.57579565048218,14.83,15.0,0.16999999999999993,4.78
36.6815505027771,14.78,15.0,0.22000000000000064,4.79
36.73479771614075,14.78,15.0,0.22000000000000064,4.751
36.91230821609497,14.83,15.0,0.16999999999999993,4.78
37.017414569854736,14.83,15.0,0.16999999999999993,4.761
37.071073055267334,14.58,15.0,0.41999999999999993,4.77
37.124244928359985,14.76,15.0,0.2400000000000002,4.79
37.177433013916016,14.83,15.0,0.16999999999999993,4.78
37.30073261260986,14.83,15.0,0.16999999999999993,4.78
37.40676474571228,14.76,15.0,0.2400000000000002,4.77
37.46123647689819,14.76,15.0,0.2400000000000002,4.761
37.514607429504395,14.71,15.0,0.28999999999999915,4.8
37.63640260696411,14.8,15.0,0.1999999999999993,4.77
37.74250769615173,14.8,15.0,0.1999999999999993,4.77
37.84899187088013,14.73,15.0,0.2699999999999996,4.78
38.027050256729126,14.73,15.0,0.2699999999999996,4.78
38.13199067115784,14.73,15.0,0.2699999999999996,4.77
38.188072204589844,14.73,15.0,0.2699999999999996,4.78
38.36226534843445,14.78,15.0,0.22000000000000064,4.761
38.46788001060486,14.78,15.0,0.22000000000000064,4.761
38.521000385284424,14.78,15.0,0.22000000000000064,4.79
38.57406401634216,14.88,15.0,0.11999999999999922,4.77
38.62753510475159,14.76,15.0,0.2400000000000002,4.78
38.75062942504883,14.76,15.0,0.2400000000000002,4.77
38.857266902923584,14.78,15.0,0.22000000000000064,4.77
38.909961223602295,14.8,15.0,0.1999999999999993,4.78
38.96313428878784,14.8,15.0,0.1999999999999993,4.78
39.08778762817383,14.71,15.0,0.28999999999999915,4.761
39.19263243675232,14.85,15.0,0.15000000000000036,4.761
39.24631214141846,14.78,15.0,0.22000000000000064,4.77
39.30113387107849,14.68,15.0,0.3200000000000003,4.809
39.4772686958313,14.8,15.0,0.1999999999999993,4.77
39.582043409347534,14.73,15.0,0.2699999999999996,4.761
39.636502504348755,14.71,15.0,0.28999999999999915,4.77
39.811927318573,14.78,15.0,0.22000000000000064,4.8
39.91791081428528,14.73,15.0,0.2699999999999996,4.751
39.97120690345764,14.8,15.0,0.1999999999999993,4.8
40.023961305618286,14.76,15.0,0.2400000000000002,4.77
40.07752299308777,14.78,15.0,0.22000000000000064,4.77
40.201037883758545,14.76,15.0,0.2400000000000002,4.79
40.306516885757446,14.85,15.0,0.15000000000000036,4.79
40.36004877090454,14.76,15.0,0.2400000000000002,4.77
40.414053440093994,14.76,15.0,0.2400000000000002,4.77
40.53643345832825,14.8,15.0,0.1999999999999993,4.761
40.58998346328735,14.73,15.0,0.2699999999999996,4.79
40.643752336502075,14.8,15.0,0.1999999999999993,4.8
40.74981880187988,14.83,15.0,0.16999999999999993,4.761
40.92649483680725,14.71,15.0,0.28999999999999915,4.78
41.031414270401,14.8,15.0,0.1999999999999993,4.79
41.13795566558838,14.73,5.0,-9.73,4.761
41.26114511489868,14.68,5.0,-9.68,1.613
41.314897775650024,13.19,5.0,-8.19,1.642
41.36804008483887,11.85,5.0,-6.85,2.033
41.42091917991638,10.14,5.0,-5.140000000000001,2.581
41.67201590538025,4.47,5.0,0.5300000000000002,4.79
41.93771052360535,4.32,5.0,0.6799999999999997,4.907
41.987119913101196,4.27,5.0,0.7300000000000004,4.907
42.188517808914185,4.32,5.0,0.6799999999999997,4.888
42.45383405685425,4.37,5.0,0.6299999999999999,4.917
42.720707654953,4.3,5.0,0.7000000000000002,4.907
42.98703980445862,4.37,5.0,0.6299999999999999,4.907
43.253679513931274,4.42,5.0,0.5800000000000001,4.907
43.518102169036865,4.27,5.0,0.7300000000000004,4.907
43.56808090209961,4.39,5.0,0.6100000000000003,4.907
43.7861864566803,4.39,5.0,0.6100000000000003,4.907
44.03603744506836,4.39,5.0,0.6100000000000003,4.897
44.302377223968506,4.37,5.0,0.6299999999999999,4.917
44.56849956512451,4.39,5.0,0.6100000000000003,4.917
44.83482551574707,4.39,5.0,0.6100000000000003,4.917
45.10019278526306,4.37,5.0,0.6299999999999999,4.917
45.36737108230591,4.34,5.0,0.6600000000000001,4.917
45.61667275428772,4.37,5.0,0.6299999999999999,4.917
45.88281726837158,4.2,5.0,0.7999999999999998,4.907
46.14970064163208,4.32,5.0,0.6799999999999997,4.917
46.41564583778381,4.42,5.0,0.5800000000000001,4.917
46.682494163513184,4.37,5.0,0.6299999999999999,4.917
46.94821071624756,4.32,5.0,0.6799999999999997,4.897
47.19793677330017,4.37,5.0,0.6299999999999999,4.907
47.46518898010254,4.3,5.0,0.7000000000000002,4.907
47.730833292007446,4.39,5.0,0.6100000000000003,4.917
47.995067834854126,4.39,5.0,0.6100000000000003,4.907
48.0627601146698,4.42,5.0,0.5800000000000001,4.907
48.2613742351532,4.42,5.0,0.5800000000000001,5.024
48.32869529724121,4.34,5.0,0.6600000000000001,5.015
48.52835988998413,4.3,5.0,0.7000000000000002,5.005
48.57734942436218,4.37,5.0,0.6299999999999999,5.024
48.79542565345764,4.37,5.0,0.6299999999999999,5.024
49.04414415359497,4.37,5.0,0.6299999999999999,4.995
49.09335494041443,4.39,5.0,0.6100000000000003,5.015
49.31142520904541,4.37,5.0,0.6299999999999999,5.015
49.577157497406006,4.32,5.0,0.6799999999999997,5.015
49.62564778327942,4.32,5.0,0.6799999999999997,5.024
49.843475580215454,4.37,5.0,0.6299999999999999,5.024
50.10946702957153,4.44,5.0,0.5599999999999996,5.015
50.15783405303955,4.32,5.0,0.6799999999999997,5.034
50.377013206481934,4.34,5.0,0.6600000000000001,4.995
50.62542676925659,4.64,5.0,0.3600000000000003,4.878
50.674236536026,4.69,5.0,0.3099999999999996,4.868
50.8925507068634,4.66,5.0,0.33999999999999986,4.868
51.1577410697937,4.56,5.0,0.4400000000000004,4.868
51.425129890441895,4.61,5.0,0.3899999999999997,4.868
51.69009280204773,4.66,5.0,0.33999999999999986,4.878
51.739328384399414,4.59,5.0,0.41000000000000014,4.839
51.958009481430054,4.69,5.0,0.3099999999999996,4.878
52.2228569984436,4.61,5.0,0.3899999999999997,4.878
52.473875284194946,4.64,5.0,0.3600000000000003,4.878
52.73938322067261,4.64,5.0,0.3600000000000003,4.878
53.00680112838745,4.64,5.0,0.3600000000000003,4.888
53.271971702575684,4.61,5.0,0.3899999999999997,4.858
53.32026815414429,4.64,5.0,0.3600000000000003,4.858
53.540278911590576,4.66,5.0,0.33999999999999986,4.868
